customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C5663,Male,Adult,Peshawar,14/1/2024,O9663,23/8/2023,McDonald's,Burger,Italian,5,1478.27,Cash,38,19/7/2025,238,Active,3,14/10/2024,Cancelled
C2831,Male,Adult,Multan,7/7/2024,O6831,23/8/2023,KFC,Burger,Italian,3,956.04,Wallet,24,25/11/2024,81,Active,2,21/8/2025,Delayed
C2851,Other,Senior,Multan,20/6/2025,O6851,23/8/2023,Pizza Hut,Fries,Italian,2,882.51,Cash,42,10/5/2025,82,Inactive,3,19/9/2024,Delayed
C1694,Female,Senior,Peshawar,5/9/2023,O5694,23/8/2023,Subway,Pizza,Dessert,4,231.3,Card,27,24/7/2025,45,Inactive,2,29/6/2025,Delayed
C4339,Other,Senior,Lahore,29/12/2023,O8339,24/8/2023,KFC,Sandwich,Dessert,1,1156.69,Cash,35,21/12/2024,418,Inactive,3,6/3/2025,Cancelled
C6543,Other,Adult,Karachi,28/9/2023,O10543,24/8/2023,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,10/10/2024,418,Inactive,4,1/6/2025,Delivered
C6423,Male,Adult,Lahore,8/4/2025,O10423,24/8/2023,McDonald's,Pasta,Continental,5,672.91,Wallet,31,25/5/2025,347,Active,1,4/3/2025,Cancelled
C4621,Male,Adult,Peshawar,5/2/2024,O8621,24/8/2023,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,1/5/2025,429,Active,2,30/9/2024,Delivered
C5146,Other,Senior,Karachi,17/12/2024,O9146,24/8/2023,KFC,Pizza,Dessert,5,596.96,Wallet,1,16/5/2025,24,Active,4,27/10/2024,Delayed
C3579,Male,Adult,Karachi,13/10/2023,O7579,24/8/2023,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,23/2/2025,270,Inactive,3,11/10/2024,Delayed
C5535,Male,Adult,Lahore,30/7/2025,O9535,24/8/2023,Subway,Sandwich,Continental,2,645.52,Cash,32,8/4/2025,133,Active,4,5/12/2024,Delayed
C3894,Female,Senior,Multan,24/1/2025,O7894,24/8/2023,Burger King,Burger,Fast Food,1,126.53,Wallet,45,26/9/2024,48,Inactive,2,20/8/2025,Cancelled
